strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
NK_H15_025	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578334	SAMEA113605577	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_026	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578335	SAMEA113605578	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_028	ciprofloxacin	R	non-wt (I/R)	1	1	==	15	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578336	SAMEA113605678	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_029	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578337	SAMEA113605580	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_030	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578338	SAMEA113605581	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_031	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578339	SAMEA113605582	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_032	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578340	SAMEA113605583	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_033	ciprofloxacin	I	non-wt (I/R)	1	0	==	23	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578341	SAMEA113605584	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_034	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578342	SAMEA113605585	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_035	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578343	SAMEA113605586	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_038	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578345	SAMEA113605588	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_039	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578346	SAMEA113605589	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_040	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR10447215	SAMEA111533193	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_042	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578347	SAMEA113605590	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_044	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578348	SAMEA113605591	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_045	ciprofloxacin	S	wt (S)	0	0	==	34	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578349	SAMEA113605592	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_046	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578350	SAMEA113605593	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_047	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578351	SAMEA113605594	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_049	ciprofloxacin	S	wt (S)	0	0	==	25	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578353	SAMEA113605596	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_050	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578354	SAMEA113605597	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_051	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578355	SAMEA113605598	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_052	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578356	SAMEA113605599	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_054	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578357	SAMEA113605600	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_055	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578358	SAMEA113605601	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_056	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578359	SAMEA113605602	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_057	ciprofloxacin	R	non-wt (I/R)	1	1	==	6	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578360	SAMEA113605603	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_058	ciprofloxacin	S	wt (S)	0	0	==	29	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578361	SAMEA113605604	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_059	ciprofloxacin	S	wt (S)	0	0	==	35	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578362	SAMEA113605605	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_060	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578363	SAMEA113605606	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_061	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578364	SAMEA113605607	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_062	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578365	SAMEA113605608	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_063A	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578366	SAMEA113605875	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_064	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578367	SAMEA113605610	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_065	ciprofloxacin	R	non-wt (I/R)	1	1	==	16	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578368	SAMEA113605611	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_066	ciprofloxacin	S	wt (S)	0	0	==	30	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578369	SAMEA113605612	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_068	ciprofloxacin	S	wt (S)	0	0	==	32	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578370	SAMEA113605613	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_069	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578371	SAMEA113605614	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_070	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578372	SAMEA113605615	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_072	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578373	SAMEA113605616	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H15_074	ciprofloxacin	S	wt (S)	0	0	==	28	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578374	SAMEA113605617	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_001	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578375	SAMEA113605618	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_002	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578376	SAMEA113605619	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_003	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578377	SAMEA113605620	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_004	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578378	SAMEA113605621	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_005	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578379	SAMEA113605622	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_006	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578380	SAMEA113605623	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_007	ciprofloxacin	I	non-wt (I/R)	1	0	==	23	mm	Disk diffusion	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578381	SAMEA113605624	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_008	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578382	SAMEA113605625	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_009	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578383	SAMEA113605626	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_010	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578384	SAMEA113605627	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_011	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578385	SAMEA113605628	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_012	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578386	SAMEA113605629	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_013	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578387	SAMEA113605630	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_014	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578388	SAMEA113605631	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_015	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578389	SAMEA113605632	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_017	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578391	SAMEA113605634	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_018	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578392	SAMEA113605635	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_019	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578393	SAMEA113605636	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_020	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578394	SAMEA113605637	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_021	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578395	SAMEA113605638	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_022	ciprofloxacin	I	non-wt (I/R)	1	0	==	0.5	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578396	SAMEA113605639	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H16_023	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578397	SAMEA113605640	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_001	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578398	SAMEA113605641	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_002	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578399	SAMEA113605642	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_003	ciprofloxacin	R	non-wt (I/R)	1	1	==	1	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578400	SAMEA113605643	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_004	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578401	SAMEA113605644	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_005	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578402	SAMEA113605645	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_010	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578407	SAMEA113605650	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_012	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578408	SAMEA113605651	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_013	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578409	SAMEA113605652	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_014	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578410	SAMEA113605653	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_017	ciprofloxacin	R	non-wt (I/R)	1	1	==	1	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578412	SAMEA113605655	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_018	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578413	SAMEA113605656	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_019	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578414	SAMEA113605657	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_021	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578416	SAMEA113605659	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_024	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578419	SAMEA113605662	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_025	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578420	SAMEA113605663	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_026	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578421	SAMEA113605664	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_028	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578422	SAMEA113605665	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_029	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578423	SAMEA113605666	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_030	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578424	SAMEA113605667	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_032	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578425	SAMEA113605668	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_033	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578426	SAMEA113605669	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_035	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578428	SAMEA113605671	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_036	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578429	SAMEA113605672	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_037	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578430	SAMEA113605673	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_038	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578431	SAMEA113605674	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_039	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578432	SAMEA113605675	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_040	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578433	SAMEA113605676	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_042	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578434	SAMEA113605677	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H17_043	ciprofloxacin	R	non-wt (I/R)	1	1	==	2	mg/L	MIC (broth dilution)	EUCAST	2023 v13.0	Vitek	NA	NA	ERR11578435	SAMEA113605609	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_001	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578436	SAMEA113605679	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_002	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578437	SAMEA113605680	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_003	ciprofloxacin	I	non-wt (I/R)	1	0	==	24	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578438	SAMEA113605681	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_004	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578439	SAMEA113605682	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_005	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578440	SAMEA113605683	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_006	ciprofloxacin	S	wt (S)	0	0	==	31	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578441	SAMEA113605684	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_007	ciprofloxacin	R	non-wt (I/R)	1	1	==	17	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578442	SAMEA113605685	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_008	ciprofloxacin	S	wt (S)	0	0	==	27	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578443	SAMEA113605686	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_009	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578444	SAMEA113605687	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_010	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578445	SAMEA113605688	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_011	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578446	SAMEA113605689	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
NK_H18_014	ciprofloxacin	S	wt (S)	0	0	==	26	mm	Disk diffusion	EUCAST	2023 v13.0	NA	NA	NA	ERR11578448	SAMEA113605691	PRJEB48268	Not_submitted	Iren Høyland Löhr (iren.hoyland.lohr@sus.no)
